order,orig_org_id,base_org_id,org_id_suffix,supported_orig_org_id,supported_base_org_id,supported_org_id_suffix,echelon_of_support,space
1,501-FSB,501-FSB,DISCOM.1-AD.ARMY.MIL,1-BDE-1-AD,1-BDE,1-AD.ARMY.MIL,BRIGADE, 
2,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL,BRIGADE, 
3,125-FSB,125-FSB,DISCOM.1-AD.ARMY.MIL,3-BDE-1-AD,3-BDE,1-AD.ARMY.MIL,BRIGADE, 
4,127-DASB,127-DASB,DISCOM.1-AD.ARMY.MIL,AVNBDE-1-AD,AVNBDE,1-AD.ARMY.MIL,BRIGADE, 
5,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL,1-AD,1-AD,ARMY.MIL,DIVISION, 
5,123-MSB-HQ,123-MSB-HQ,DISCOM.1-AD.ARMY.MIL,1-AD,1-AD,ARMY.MIL,DIVISION, 
10,227-SUPPLYCO,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,1-AD,1-AD,ARMY.MIL,CORPS, 
11,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL,1-AD,1-AD,ARMY.MIL,CORPS, 
12,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,1-AD,1-AD,ARMY.MIL,CORPS, 
13,16-CSG,16-CSG,5-CORPS.ARMY.MIL,16-CSG,16-CSG,5-CORPS.ARMY.MIL,DIVISION, 
14,7-CSG,7-CSG,5-CORPS.ARMY.MIL,5-CORPS,5-CORPS,ARMY.MIL,CORPS, 
15,7-CSG,7-CSG,5-CORPS.ARMY.MIL,7-CSG,7-CSG,5-CORPS.ARMY.MIL,DIVISION, 
16,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL,21-TSC-HQ,21-TSC-HQ,ARMY.MIL,DIVISION, 
17,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,21-TSC-HQ,21-TSC-HQ,ARMY.MIL,DIVISION, 
18,21-TSC-HQ,21-TSC-HQ,ARMY.MIL,USAEUR,USAEUR,MIL,THEATER, 
19,TRANSCOM-STUB,TRANSCOM-STUB,MIL,NCA,OSD,GOV,JOINT, 
20,TRANSCOM,TRANSCOM,MIL,NCA,OSD,GOV,JOINT, 
21,HNS,HNS,MIL,NCA,OSD,GOV,JOINT, 
22,DLAHQ,DLAHQ,MIL,NCA,OSD,GOV,JOINT, 
23,OSC,OSC,MIL,NCA,OSD,GOV,JOINT, 
24,AWR-2,AWR-2,21-TSC.ARMY.MIL,NCA,OSD,GOV,JOINT, 
25,1-AD,1-AD,ARMY.MIL,1-AD,1-AD,ARMY.MIL,CORPS, 
26,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL,CORPS, 
27,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL,5-CORPS-ARTY,CORPS-ARTY,5-CORPS.ARMY.MIL,CORPS, 
28,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL,CORPS, 
